Afghanistan,Badghis,Qal eh-ye Now,34.98300013,63.13329964
Afghanistan,Ghor,Chaghcharan,34.5167011,65.25000063
Afghanistan,Hilmand,Lashkar Gah,31.58299802,64.35999955
Afghanistan,Nimroz,Zaranj,31.11200108,61.88699752
Afghanistan,Uruzgan,Tarin Kowt,32.63329815,65.86669865
Afghanistan,Paktika,Zareh Sharan,32.85000016,68.41670453
Afghanistan,Kunar,Asadabad,34.86600004,71.15000459
Afghanistan,Takhar,Taloqan,36.72999904,69.54000364
Afghanistan,Kapisa,Mahmud-E Eraqi,35.01669608,69.33330065
Afghanistan,Laghman,Mehtar Lam,34.65000001,70.16670052
Afghanistan,Logar,Baraki Barak,33.9667021,68.96670354
Afghanistan,Samangan,Aybak,36.26100015,68.04000051
Afghanistan,Wardak,Mayda Shahr,34.45000209,68.79999663
Afghanistan,Hirat,Karokh,34.48676963,62.59177608
Afghanistan,Jawzjan,Sheberghan,36.65798077,65.73830237
Afghanistan,Baghlan,Pol-e Khomri,35.95107302,68.70111894
Afghanistan,Balkh,Balkh,36.75011985,66.89973018
Afghanistan,Faryab,Meymaneh,35.93022158,64.77009273
Afghanistan,Faryab,Andkhvoy,36.93165916,65.10149369
Afghanistan,Zabul,Qalat,32.11226341,66.8867594
Afghanistan,Ghazni,Ghazni,33.56331179,68.41782873
Afghanistan,Badakhshan,Feyzabad,37.12976076,70.57924719
Afghanistan,Kunduz,Kondoz,36.72795066,68.87252966
Afghanistan,Nangarhar,Jalalabad,34.44152692,70.43610347
Afghanistan,Parwan,Charikar,35.01826174,69.16791215
Afghanistan,Paktya,Gardiz,33.60005373,69.21462764
Afghanistan,Bamyan,Bamian,34.82106447,67.52103593
Afghanistan,Baghlan,Baghlan,36.13933026,68.69925858
Afghanistan,Farah,Farah,32.39172955,62.09681921
Afghanistan,Hirat,Herat,34.33000917,62.16999304
Afghanistan,Balkh,Mazar-e Sharif,36.69999371,67.10002803
Afghanistan,Kandahar,Kandahar,31.61002016,65.69494584
Afghanistan,Kabul,Kabul,34.51669029,69.18326005
Aland,Finström,Mariehamn,60.09699618,19.94900447
Albania,Durrës,Kruje,41.51899817,19.79700359
Albania,Fier,Fier,40.73000402,19.5730026
Albania,Fier,Lushnje,40.94000113,19.71600348
Albania,Shkodër,Puke,42.03330302,19.88330448
Albania,Kukës,Bajram Curri,42.33330007,20.08330257
Albania,Kukës,Kukes,42.08300107,20.43399653
Albania,Vlorë,Sarande,39.87700212,19.99999859
Albania,Korçë,Erseke,40.33330213,20.68329651
Albania,Korçë,Pogradec,40.89999612,20.66400062
Albania,Korçë,Korce,40.61667601,20.76666353
Albania,Berat,Berat,40.70999705,19.97199958
Albania,Berat,Corovode,40.51670403,20.23329663
Albania,Elbasan,Gramsh,40.86669601,20.19999652
Albania,Elbasan,Librazhd,41.20000211,20.3667036
Albania,Gjirokastër,Tepelene,40.2832981,20.03329854
Albania,Gjirokastër,Permet,40.23399605,20.35199756
Albania,Gjirokastër,Gjirokaster,40.07899809,20.14900256
Albania,Dibër,Peshkopi,41.6833021,20.43330349
Albania,Dibër,Burrel,41.62599908,20.01600053
Albania,Lezhë,Lezhe,41.78799914,19.65400254
Albania,Lezhë,Rreshen,41.78330106,19.81670459
Albania,Vlorë,Vlore,40.47736005,19.49823075
Albania,Elbasan,Elbasan,41.12150677,20.08382808
Albania,Durrës,Durres,41.3177997,19.44820797
Albania,Shkodër,Shkoder,42.06845156,19.51884965
Albania,Durrës,Tirana,41.32754071,19.81888301
Algeria,Jijel,Jijel,36.82199703,5.76600356
Algeria,Tizi Ouzou,Tizi-Ouzou,36.80000111,4.033332556
Algeria,Bordj Bou Arréridj,Bordj Bou Arreridj,36.05900401,4.629996466
Algeria,M'Sila,M'sila,35.7000031,4.545000584
Algeria,Guelma,Guelma,36.46600213,7.427997486
Algeria,Oum el Bouaghi,Oum el Bouaghi,35.84999715,7.149996522
Algeria,Adrar,Timimoun,29.23652163,0.269998737
Algeria,Sidi Bel Abbès,Sidi bel Abbes,35.19034426,-0.639971559
Algeria,Tlemcen,Tlimcen,34.89041424,-1.32000757
Algeria,Béchar,Beni Ounif,32.04926984,-1.251381268
Algeria,Béchar,Abadla,31.01708478,-2.733306317
Algeria,Naâma,Sefra,32.76041506,-0.579949383
Algeria,Skikda,Skikda,36.88042198,6.899981647
Algeria,Illizi,Djanet,24.5529057,9.482252969
Algeria,Illizi,I-n-Amenas,28.0503408,9.550000772
Algeria,Tamanghasset,In Amguel,23.69394004,5.164738727
Algeria,El Bayadh,El Bayadh,33.6903583,1.009953571
Algeria,Biskra,El Oued,33.37040367,6.859984089
Algeria,Ouargla,Hassi Messaoud,31.70234011,6.054451862
Algeria,Chlef,Chlef,36.17041363,1.319960489
Algeria,Mascara,Mascara,35.40040895,0.14003251
Algeria,Mostaganem,Mostaganem,35.940376,0.089983885
Algeria,Saïda,Saida,34.84039146,0.14003251
Algeria,Tiaret,Tiarat,35.38043601,1.319960489
Algeria,Béjaïa,Bejaia,36.76037762,5.070015827
Algeria,Blida,Blida,36.4203467,2.829997517
Algeria,Bouira,Bouira,36.38047833,3.900009724
Algeria,Médéa,Medea,36.27040753,2.770001179
Algeria,Souk Ahras,Souk Ahras,36.29038047,7.949995075
Algeria,Tébessa,Tebessa,35.41043418,8.120010537
Algeria,Adrar,Adrar,27.86999005,-0.289967083
Algeria,Adrar,Reggane,26.69998395,0.166645873
Algeria,Béchar,Bechar,31.61110537,-2.230003704
Algeria,Tindouf,Tindouf,27.67418805,-8.147782025
Algeria,Illizi,Illizi,26.48335634,8.466604369
Algeria,Tamanghasset,Arak,25.2799931,3.749993041
Algeria,Tamanghasset,I-n-Salah,27.21664492,2.466608845
Algeria,Ghardaïa,El Golea,30.56662132,2.883327595
Algeria,Laghouat,Laghouat,33.80998924,2.880020303
Algeria,Ouargla,Touggourt,33.0999809,6.05998124
Algeria,Ouargla,Ouargla,31.96997235,5.340025186
Algeria,Biskra,Biskra,34.85997683,5.73002722
Algeria,Djelfa,Djelfa,34.67998781,3.250023558
Algeria,Sétif,Setif,36.18002545,5.399969847
Algeria,Batna,Batna,35.56995933,6.170000365
Algeria,Annaba,Annaba,36.92000612,7.759980834
Algeria,Constantine,Constantine,36.35998863,6.599948281
Algeria,Oran,Oran,35.71000246,-0.61997278
Algeria,Tamanghasset,Tamanrasset,22.78500327,5.522804727
Algeria,Ghardaïa,Ghardaia,32.48999229,3.669997923
Algeria,Alger,Algiers,36.7630648,3.05055253
American Samoa,,Pago Pago,-14.2766105,-170.7066451
Andorra,,Andorra,42.50000144,1.516485961
